exit_id,employee_id,reason,exit_type,Exit_Date
EXT00234,EMP01117,"Better Opportunity",Voluntary,2025-04-02
EXT00235,EMP00261,"Better Opportunity",Involuntary,2026-02-08
EXT00236,EMP00922,"Higher Studies",Voluntary,2024-01-19
EXT00237,EMP00834,Termination,Involuntary,2024-10-21
EXT00238,EMP01224,Termination,Involuntary,2025-12-10
EXT00239,EMP00343,"Better Opportunity",Voluntary,2026-06-23
EXT00240,EMP00683,Termination,Involuntary,2026-07-26
EXT00241,EMP00923,"Health Issues",Involuntary,2023-10-02
EXT00242,EMP00802,"Personal Reasons",Involuntary,2025-12-03
EXT00243,EMP00189,"Better Opportunity",Voluntary,2025-05-01
EXT00244,EMP00989,"Personal Reasons",Involuntary,2024-05-18
EXT00245,EMP00036,Retirement,Involuntary,2026-02-01
EXT00246,EMP00636,Retirement,Voluntary,2026-01-28
EXT00247,EMP00906,"Better Opportunity",Involuntary,2025-01-06
EXT00248,EMP00948,Relocation,Voluntary,2024-08-03
EXT00249,EMP00715,Termination,Involuntary,2025-11-16
EXT00250,EMP00935,"Health Issues",Involuntary,2026-06-17
EXT00251,EMP00336,Retirement,Voluntary,2025-05-10
EXT00252,EMP00520,"Better Opportunity",Involuntary,2024-01-07
EXT00253,EMP00460,"Higher Studies",Voluntary,2026-07-11
EXT00254,EMP00942,"Personal Reasons",Voluntary,2024-12-25
EXT00255,EMP01000,"Better Opportunity",Involuntary,2025-07-26
EXT00256,EMP00200,Retirement,Voluntary,2024-04-28
EXT00257,EMP00845,Relocation,Voluntary,2024-04-23
EXT00258,EMP01077,"Better Opportunity",Involuntary,2024-11-17
EXT00259,EMP00144,"Better Opportunity",Voluntary,2024-05-14
EXT00260,EMP00374,Relocation,Voluntary,2025-11-08
EXT00261,EMP00386,Termination,Involuntary,2024-12-20
EXT00262,EMP01123,"Health Issues",Voluntary,2025-02-23
EXT00263,EMP01154,"Higher Studies",Voluntary,2025-06-07
EXT00264,EMP01004,Termination,Involuntary,2023-12-07
EXT00265,EMP00550,"Health Issues",Voluntary,2024-07-19
EXT00266,EMP00097,"Better Opportunity",Involuntary,2024-11-01
EXT00267,EMP00106,Termination,Involuntary,2025-09-18
EXT00268,EMP00170,"Higher Studies",Voluntary,2026-03-04
EXT00269,EMP00746,Termination,Involuntary,2023-11-06
EXT00270,EMP01027,"Health Issues",Voluntary,2025-06-09
EXT00271,EMP01141,Relocation,Voluntary,2024-12-12
EXT00272,EMP00974,"Better Opportunity",Voluntary,2025-03-25
EXT00273,EMP00161,"Better Opportunity",Involuntary,2024-04-12
EXT00274,EMP00996,Relocation,Voluntary,2026-05-29
EXT00275,EMP01033,"Better Opportunity",Voluntary,2025-11-14
EXT00276,EMP00621,Relocation,Involuntary,2023-09-28
EXT00277,EMP00962,"Health Issues",Involuntary,2025-11-18
EXT00278,EMP01219,"Better Opportunity",Voluntary,2024-06-28
EXT00279,EMP00186,Relocation,Involuntary,2026-04-11
EXT00280,EMP00248,"Personal Reasons",Involuntary,2025-12-11
EXT00281,EMP00556,"Health Issues",Voluntary,2025-12-10
EXT00282,EMP01031,Retirement,Involuntary,2024-08-22
EXT00283,EMP00692,"Higher Studies",Voluntary,2025-11-26
EXT00284,EMP00090,"Higher Studies",Involuntary,2024-12-09
EXT00285,EMP00729,Retirement,Voluntary,2025-02-17
EXT00286,EMP00983,"Health Issues",voluntary,2025-05-04
EXT00287,EMP00128,"Better Opportunity",Voluntary,2026-02-12
EXT00288,EMP00123,Termination,Voluntary,2025-06-10
EXT00289,EMP00007,Relocation,Voluntary,2024-11-21
EXT00290,EMP01055,"Health Issues",Voluntary,2024-06-28
EXT00291,EMP00013,"Personal Reasons",Voluntary,2024-04-16
EXT00292,EMP00502,Termination,Involuntary,2023-08-23
EXT00293,EMP00718,Retirement,Voluntary,2025-02-08
EXT00294,EMP01212,Retirement,Involuntary,2023-05-10
EXT00295,EMP00085,"Higher Studies",Involuntary,2025-12-12
EXT00296,EMP01211,"Personal Reasons",Voluntary,2024-05-23
EXT00297,EMP00878,Relocation,Involuntary,2024-07-16
EXT00298,EMP01204,"Personal Reasons",Voluntary,2024-06-20
EXT00299,EMP00116,"Personal Reasons",Voluntary,2024-08-11
EXT00300,EMP00318,"Higher Studies",Voluntary,2025-06-29
EXT00301,EMP00740,"Better Opportunity",Involuntary,2024-08-28
EXT00302,EMP01011,Termination,Voluntary,2025-05-22
EXT00303,EMP00542,Relocation,Involuntary,2026-02-05
EXT00304,EMP00735,"Better Opportunity",Voluntary,2025-12-14
EXT00305,EMP00155,"Better Opportunity",Voluntary,2023-11-10
EXT00306,EMP00884,Relocation,Involuntary,2025-02-27
EXT00307,EMP00566,"Higher Studies",Involuntary,2026-01-19
EXT00308,EMP00774,"Health Issues",Involuntary,2024-01-11
EXT00309,EMP01096,"Higher Studies",Involuntary,2024-02-07
EXT00310,EMP00781,"Personal Reasons",Voluntary,2024-01-06
EXT00311,EMP00194,"Higher Studies",Voluntary,2026-11-05
EXT00312,EMP00919,"Health Issues",Voluntary,2026-05-30
EXT00313,EMP00055,Termination,Voluntary,2025-01-07
EXT00314,EMP00647,"Higher Studies",Voluntary,2023-12-18
EXT00315,EMP00150,"Better Opportunity",voluntary,2026-02-05
EXT00316,EMP00231,Termination,Involuntary,2026-01-28
EXT00317,EMP01227,Relocation,Voluntary,2024-01-16
EXT00318,EMP00284,"Better Opportunity",Voluntary,2024-09-20
EXT00319,EMP00734,"Health Issues",Voluntary,2026-06-16
EXT00320,EMP00555,"Higher Studies",Voluntary,2024-08-30
