attendance_id,employee_id,date,status,check_in_time,check_out_time
ATD000128,EMP01224,2026-04-14,Present,08:42,17:28
ATD000129,EMP00575,2024-08-22,Absent,NULL,NULL
ATD000130,EMP00749,2025-12-03,Present,09:35,18:46
ATD000131,EMP00497,2024-08-20,"Half Day",09:03,13:30
ATD000132,EMP00356,2025-03-11,"Work From Home",09:21,17:30
ATD000133,EMP00765,2026-04-11,"Half Day",09:10,13:21
ATD000134,EMP00308,2025-03-04,Present,08:46,18:07
ATD000135,EMP00383,2024-08-12,Present,08:47,18:13
ATD000136,EMP00762,2026-04-14,Present,09:25,18:46
ATD000137,EMP01112,2026-05-25,Absent,NULL,NULL
ATD000138,EMP01130,2025-12-26,"Work From Home",09:36,18:29
ATD000139,EMP00212,2026-01-10,Present,08:42,17:02
ATD000140,EMP01061,2025-08-07,Present,09:39,18:56
ATD000141,EMP00694,2026-04-06,"Work From Home",09:08,18:06
ATD000142,EMP01087,2026-06-19,"Work From Home",09:30,18:23
ATD000143,EMP00377,2024-08-28,Present,08:59,18:28
ATD000144,EMP00898,2026-06-13,"Half Day",09:21,13:24
ATD000145,EMP01214,2025-03-06,Present,08:56,17:34
ATD000146,EMP00154,2026-01-09,Present,09:42,18:52
ATD000147,EMP00639,2025-04-03,Present,08:44,17:11
ATD000148,EMP00792,2025-12-20,"Work From Home",09:38,17:40
ATD000149,EMP00017,2025-04-17,Present,08:38,17:07
ATD000150,EMP01141,2025-03-16,Present,09:38,18:40
ATD000151,EMP00762,2024-09-11,Present,09:23,17:33
ATD000152,EMP00514,2025-02-27,Absent,NULL,NULL
ATD000153,EMP00757,2026-03-24,Absent,NULL,NULL
ATD000154,EMP00372,2024-12-21,Present,08:46,17:47
ATD000155,EMP00333,2024-12-24,Present,09:42,18:11
ATD000156,EMP00852,2026-06-12,Present,09:36,18:30
ATD000157,EMP00913,2025-11-12,Present,08:56,18:13
ATD000158,EMP00125,2026-02-18,Present,09:04,17:52
ATD000159,EMP00957,2024-08-28,"Half Day",08:34,12:59
ATD000160,EMP00668,2025-12-25,Present,09:41,17:51
ATD000161,EMP00725,2025-09-03,Present,09:26,17:50
ATD000162,EMP00659,2026-04-05,Present,08:49,17:02
ATD000163,EMP00690,2024-11-16,Present,08:41,17:46
ATD000164,EMP00112,2025-11-13,Present,08:50,17:15
ATD000165,EMP00200,2026-04-02,Present,09:07,18:34
ATD000166,EMP00074,2025-06-12,Present,09:15,17:32
ATD000167,EMP00858,2024-12-28,Present,09:04,18:25
ATD000168,EMP00781,2026-05-24,"Half Day",08:45,12:33
ATD000169,EMP00561,2024-12-16,Present,08:51,16:59
ATD000170,EMP00827,2025-03-12,Present,08:37,16:37
ATD000171,EMP01043,2026-05-27,Absent,NULL,NULL
ATD000172,EMP00530,2025-02-14,Absent,NULL,NULL
ATD000173,EMP00086,2025-04-26,Present,09:03,17:04
ATD000174,EMP00204,2024-10-01,Present,09:25,18:38
ATD000175,EMP00326,2024-08-22,Present,08:57,17:50
ATD000176,EMP00715,2025-12-13,Present,09:15,17:32
ATD000177,EMP00777,2025-08-18,"Half Day",09:25,13:16
ATD000178,EMP00550,2026-05-13,"Work From Home",09:33,18:00
ATD000179,EMP01066,2025-09-16,Absent,NULL,NULL
ATD000180,EMP00822,2026-08-07,Present,08:35,16:43
ATD000181,EMP01032,2025-10-24,Present,08:31,17:01
ATD000182,EMP00141,2025-03-15,Present,09:30,17:35
ATD000183,EMP00705,2024-10-28,Present,08:50,18:14
ATD000184,EMP01113,2025-01-17,Present,09:00,17:28
ATD000185,EMP00730,2025-07-01,Present,09:31,17:31
ATD000186,EMP00535,2025-03-09,"Work From Home",09:39,18:23
ATD000187,EMP01021,2025-02-23,Absent,NULL,NULL
ATD000188,EMP00071,2025-01-04,Present,08:50,17:31
ATD000189,EMP00194,2025-01-18,"Work From Home",09:19,18:02
ATD000190,EMP00344,2026-05-06,"Work From Home",09:08,18:06
ATD000191,EMP00976,2025-02-25,Present,08:33,17:00
ATD000192,EMP01014,2026-02-03,Present,08:38,17:54
ATD000193,EMP00230,2025-03-13,Present,08:54,17:39
ATD000194,EMP01019,2025-04-08,"Work From Home",09:58,18:10
ATD000195,EMP00849,2026-01-15,"Work From Home",09:13,18:03
ATD000196,EMP00530,2025-09-14,Present,09:33,18:26
ATD000197,EMP00080,2025-10-02,Present,08:43,18:10
ATD000198,EMP00890,2024-09-17,Absent,NULL,NULL
ATD000199,EMP01026,2025-12-07,Absent,NULL,NULL
ATD000200,EMP00138,2025-04-21,Present,08:37,17:59
ATD000201,EMP00597,2026-01-26,Present,08:44,17:18
ATD000202,EMP00285,2025-08-15,Absent,NULL,NULL
ATD000203,EMP00793,2025-09-03,Present,08:41,17:30
ATD000204,EMP00344,2025-05-22,Absent,NULL,NULL
ATD000205,EMP00814,2025-06-29,Present,08:35,16:52
ATD000206,EMP00674,2025-06-16,Present,08:39,17:20
ATD000207,EMP00066,2025-05-04,"Work From Home",09:52,18:22
ATD000208,EMP00276,2025-03-26,Present,09:27,18:51
ATD000209,EMP00773,2026-01-07,"Half Day",08:32,12:17
ATD000210,EMP00076,2025-03-12,Present,09:20,18:38
ATD000211,EMP00654,2025-02-20,"Work From Home",09:38,18:25
ATD000212,EMP00038,2026-04-15,Present,08:32,17:07
ATD000213,EMP01021,2024-08-20,Present,08:33,16:44
ATD000214,EMP01105,2025-01-14,Absent,NULL,NULL
ATD000215,EMP00149,2025-01-17,Present,09:21,17:49
ATD000216,EMP00006,2026-05-29,Absent,NULL,NULL
ATD000217,EMP00533,2026-01-24,Present,08:35,17:19
ATD000218,EMP00262,2026-07-19,Present,09:07,17:32
ATD000219,EMP01084,2026-07-10,Present,09:12,17:34
ATD000220,EMP00358,2025-07-03,Present,08:32,17:09
ATD000221,EMP00860,2025-05-22,Present,09:27,17:30
ATD000222,EMP00500,2024-09-29,Present,09:35,18:59
ATD000223,EMP00751,2025-07-02,Present,09:15,17:15
ATD000224,EMP00978,2025-09-09,Present,08:46,18:00
ATD000225,EMP00732,2025-05-07,"Half Day",09:18,13:19
ATD000226,EMP00006,2024-12-03,Present,09:00,18:18
ATD000227,EMP00785,2025-08-22,Present,08:51,17:51
ATD000228,EMP00733,2025-03-05,Present,09:17,17:47
ATD000229,EMP01042,2025-08-25,Present,09:15,17:33
ATD000230,EMP00847,2024-12-11,"Half Day",08:44,12:52
ATD000231,EMP00202,2024-12-19,Present,08:54,18:17
ATD000232,EMP00441,2025-01-17,Present,09:25,18:14
ATD000233,EMP00076,2024-09-19,Present,08:33,16:56
ATD000234,EMP00580,2024-11-22,"Work From Home",09:09,17:37
ATD000235,EMP01002,2025-05-30,Present,08:51,17:33
ATD000236,EMP00292,2025-09-28,Present,09:19,17:56
ATD000237,EMP01004,2024-11-27,"Work From Home",09:14,17:39
ATD000238,EMP00954,2026-07-20,Present,08:51,18:20
ATD000239,EMP00069,2025-11-18,"Half Day",08:36,12:18
ATD000240,EMP00054,2026-07-20,Present,08:34,17:47
ATD000241,EMP00868,2024-12-17,Present,08:51,17:43
ATD000242,EMP01224,2025-02-26,Present,08:34,16:45
ATD000243,EMP01100,2025-05-13,Present,08:41,17:03
ATD000244,EMP00709,2024-09-14,Present,08:30,17:45
ATD000245,EMP00307,2026-07-11,Absent,NULL,NULL
ATD000246,EMP00782,2024-09-13,Absent,NULL,NULL
ATD000247,EMP00928,2026-03-10,"Work From Home",09:41,17:55
ATD000248,EMP00047,2024-12-10,Absent,NULL,NULL
ATD000249,EMP00328,2026-04-14,Present,08:36,17:11
ATD000250,EMP01091,2025-06-12,"Half Day",08:55,13:22
ATD000251,EMP00513,2025-03-10,Absent,NULL,NULL
ATD000252,EMP00665,2024-09-12,"Work From Home",09:04,17:04
ATD000253,EMP00044,2025-03-22,Absent,NULL,NULL
ATD000254,EMP00346,2025-02-10,Absent,NULL,NULL
ATD000255,EMP00274,2025-11-15,Present,09:38,18:43
ATD000256,EMP00068,2025-02-08,Present,08:47,16:52
ATD000257,EMP00902,2025-08-25,Present,08:48,17:37
ATD000258,EMP00063,2025-12-12,Present,09:19,18:07
ATD000259,EMP00777,2024-12-02,Present,08:38,16:44
ATD000260,EMP00530,2024-09-01,Present,08:45,17:14
ATD000261,EMP01068,2026-05-13,Absent,NULL,NULL
ATD000262,EMP00930,2025-10-26,"Work From Home",09:02,17:38
ATD000263,EMP00460,2025-08-08,Present,08:50,18:20
ATD000264,EMP00157,2025-10-26,Absent,NULL,NULL
ATD000265,EMP00762,2025-02-07,Present,09:22,17:37
ATD000266,EMP00764,2025-06-06,Present,09:07,17:33
ATD000267,EMP00607,2025-01-11,Absent,NULL,NULL
ATD000268,EMP01145,2026-02-23,"Half Day",08:43,13:02
ATD000269,EMP01224,2025-09-06,Present,09:37,17:38
ATD000270,EMP00931,2025-08-13,Absent,NULL,NULL
ATD000271,EMP00422,2024-10-20,Present,08:34,17:23
ATD000272,EMP00734,2025-11-15,Present,09:35,17:43
ATD000273,EMP00292,2026-01-10,Present,08:50,17:00
ATD000274,EMP00829,2025-11-28,Present,09:09,18:26
ATD000275,EMP00717,2026-07-04,Present,09:04,18:05
ATD000276,EMP00231,2026-04-23,Absent,NULL,NULL
ATD000277,EMP00984,2026-01-30,Present,09:28,18:16
ATD000278,EMP01071,2026-05-10,"Work From Home",09:41,17:55
ATD000279,EMP00506,2026-02-05,"Work From Home",09:32,17:34
ATD000280,EMP01122,2024-11-05,"Work From Home",09:30,18:02
ATD000281,EMP00539,2025-10-08,"Work From Home",09:32,17:59
ATD000282,EMP00716,2025-04-12,Present,09:39,19:05
ATD000283,EMP00116,2026-04-12,"Work From Home",09:48,18:00
ATD000284,EMP00931,2025-05-28,"Work From Home",09:37,17:37
ATD000285,EMP01036,2026-02-02,Present,09:33,18:16
ATD000286,EMP00683,2026-01-05,"Work From Home",09:41,17:48
ATD000287,EMP01053,2026-05-18,"Work From Home",09:18,17:22
ATD000288,EMP00010,2026-07-02,Absent,NULL,NULL
ATD000289,EMP01195,2026-04-25,Present,09:35,18:14
ATD000290,EMP00403,2025-02-13,"Work From Home",09:52,17:55
ATD000291,EMP00234,2025-08-21,Present,08:34,18:04
ATD000292,EMP00636,2026-05-07,Present,09:00,17:41
ATD000293,EMP00413,2025-12-17,Absent,NULL,NULL
ATD000294,EMP00586,2024-10-01,"Half Day",09:08,13:33
ATD000295,EMP00571,2025-08-19,"Work From Home",09:03,17:49
ATD000296,EMP01211,2026-01-08,Absent,NULL,NULL
ATD000297,EMP00129,2025-03-28,"Work From Home",09:06,17:56
ATD000298,EMP00418,2026-06-02,Present,08:51,16:57
ATD000299,EMP00166,2025-01-24,Present,08:59,18:08
ATD000300,EMP01136,2026-06-22,"Half Day",08:43,12:40
ATD000301,EMP01095,2024-09-22,Present,09:09,17:30
ATD000302,EMP00485,2026-04-08,Present,09:15,17:45
ATD000303,EMP00905,2025-08-21,Present,09:04,17:20
ATD000304,EMP00795,2025-01-17,Present,09:04,17:46
ATD000305,EMP00177,2025-08-25,Present,08:41,17:40
ATD000306,EMP00659,2025-01-16,"Half Day",09:09,13:38
ATD000307,EMP00557,2025-07-18,Present,09:25,17:42
ATD000308,EMP01163,2026-05-22,Present,09:07,18:05
ATD000309,EMP00506,2024-11-10,Present,08:50,17:58
ATD000310,EMP01184,2024-11-26,"Half Day",09:01,13:23
ATD000311,EMP00830,2026-02-14,Present,09:12,17:57
ATD000312,EMP00336,2025-05-07,"Half Day",09:12,13:29
ATD000313,EMP01166,2024-09-25,Absent,NULL,NULL
ATD000314,EMP00112,2024-12-29,Present,09:27,18:07
ATD000315,EMP00937,2024-10-30,"Work From Home",09:31,17:47
ATD000316,EMP00874,2025-11-11,"Half Day",08:35,12:08
ATD000317,EMP00306,2025-12-04,Present,09:43,17:47
ATD000318,EMP00541,2025-09-26,Absent,NULL,NULL
ATD000319,EMP00698,2026-07-26,"Half Day",08:34,12:59
ATD000320,EMP00248,2025-11-27,Absent,NULL,NULL
ATD000321,EMP00142,2026-02-24,Present,09:42,17:57
ATD000322,EMP00335,2025-08-25,Present,09:26,17:55
ATD000323,EMP00547,2025-06-17,"Work From Home",09:00,17:56
ATD000324,EMP00280,2025-05-17,"Work From Home",09:31,17:51
ATD000325,EMP00898,2026-05-08,Present,09:36,19:04
ATD000326,EMP01096,2026-06-12,Present,08:33,17:49
ATD000327,EMP00517,2026-06-01,Present,09:25,18:26
ATD000328,EMP00385,2025-07-04,Present,08:42,16:55
ATD000329,EMP00013,2025-04-23,Present,09:38,18:35
ATD000330,EMP00205,2025-01-29,Present,09:20,17:49
ATD000331,EMP00074,2025-02-22,"Half Day",08:46,13:06
ATD000332,EMP01097,2026-01-25,Present,08:52,17:04
ATD000333,EMP00802,2025-12-16,Present,08:51,17:11
ATD000334,EMP00946,2024-12-27,Present,09:38,17:57
ATD000335,EMP00016,2026-08-03,Present,09:29,18:45
ATD000336,EMP00468,2025-03-21,Absent,NULL,NULL
ATD000337,EMP00710,2024-08-20,"Work From Home",09:20,17:40
ATD000338,EMP00488,2024-09-22,Present,08:51,17:33
ATD000339,EMP00413,2026-04-05,Absent,NULL,NULL
ATD000340,EMP00470,2026-03-05,Present,09:43,18:29
ATD000341,EMP00452,2025-05-16,Present,09:27,17:41
ATD000342,EMP01002,2025-05-03,Present,09:43,18:15
ATD000343,EMP01192,2025-12-10,Present,09:17,18:13
ATD000344,EMP00880,2024-10-03,Present,09:39,18:30
ATD000345,EMP00649,2024-08-26,Present,08:37,17:13
ATD000346,EMP00163,2024-09-03,"Work From Home",09:07,17:41
ATD000347,EMP00508,2025-09-01,Present,08:41,17:20
ATD000348,EMP00274,2026-07-29,"Half Day",08:31,12:14
ATD000349,EMP00611,2026-05-06,"Half Day",09:10,13:02
ATD000350,EMP00597,2025-06-22,Present,08:53,17:56
ATD000351,EMP00795,2024-12-14,Present,08:47,17:07
ATD000352,EMP00783,2026-03-06,Present,09:31,18:18
ATD000353,EMP00793,2026-01-06,Present,09:02,17:58
ATD000354,EMP00221,2025-03-19,"Work From Home",09:06,18:05
ATD000355,EMP01169,2025-10-17,Present,08:57,18:25
ATD000356,EMP00116,2026-01-19,Absent,NULL,NULL
ATD000357,EMP00249,2025-11-30,"Half Day",09:29,13:04
ATD000358,EMP00578,2026-05-11,Present,09:12,17:17
ATD000359,EMP00018,2026-06-13,Absent,NULL,NULL
ATD000360,EMP00851,2025-01-08,Present,08:30,16:48
ATD000361,EMP00067,2026-03-18,"Half Day",09:10,13:02
ATD000362,EMP00965,2024-08-16,"Half Day",08:39,12:57
ATD000363,EMP00867,2024-12-26,Absent,NULL,NULL
ATD000364,EMP00161,2024-12-21,"Half Day",09:21,13:32
ATD000365,EMP01193,2025-03-18,"Half Day",09:18,13:24
ATD000366,EMP00449,2025-02-24,Absent,NULL,NULL
ATD000367,EMP00984,2025-06-18,"Half Day",09:25,13:16
ATD000368,EMP00109,2024-12-12,Absent,NULL,NULL
ATD000369,EMP00160,2025-10-03,Absent,NULL,NULL
ATD000370,EMP01069,2025-08-04,Present,08:51,18:20
ATD000371,EMP00430,2026-04-07,Present,09:03,17:07
ATD000372,EMP00285,2026-02-15,Present,09:16,18:45
ATD000373,EMP00056,2025-04-09,"Work From Home",09:54,18:15
ATD000374,EMP00861,2026-03-15,Present,09:37,18:14
ATD000375,EMP01022,2025-06-19,Present,08:54,17:23
ATD000376,EMP00796,2024-08-10,"Half Day",08:42,13:05
ATD000377,EMP00142,2024-09-07,Present,09:35,17:51
ATD000378,EMP01228,2026-06-21,"Work From Home",09:02,17:22
ATD000379,EMP00368,2025-01-06,Absent,NULL,NULL
ATD000380,EMP01170,2026-07-03,Present,09:39,18:44
ATD000381,EMP00479,2026-01-26,Present,09:25,18:38
ATD000382,EMP00350,2025-07-16,Present,08:35,16:35
ATD000383,EMP00739,2025-12-29,Present,08:44,18:04
ATD000384,EMP00762,2025-10-11,Present,08:36,16:59
ATD000385,EMP00145,2025-04-26,Present,08:34,17:31
ATD000386,EMP01155,2026-06-21,Absent,NULL,NULL
ATD000387,EMP00676,2025-07-09,Present,09:38,18:16
ATD000388,EMP00871,2025-10-28,Present,09:29,18:54
ATD000389,EMP00354,2025-08-02,"Work From Home",09:51,18:38
ATD000390,EMP01220,2025-03-16,Present,08:32,17:28
ATD000391,EMP00950,2026-04-10,Present,09:25,18:42
ATD000392,EMP01219,2026-04-17,"Work From Home",09:58,18:41
ATD000393,EMP00699,2024-10-18,Present,09:00,17:21
ATD000394,EMP00094,2025-10-31,"Half Day",08:41,12:43
ATD000395,EMP00886,2026-02-16,Present,08:55,18:06
ATD000396,EMP00152,2024-10-22,Absent,NULL,NULL
ATD000397,EMP00216,2026-03-08,Absent,NULL,NULL
ATD000398,EMP00743,2026-01-16,Present,09:01,17:27
ATD000399,EMP00788,2025-08-18,Present,08:50,16:51
ATD000400,EMP00552,2025-06-27,Present,09:43,18:24
ATD000401,EMP00651,2025-01-25,Absent,NULL,NULL
ATD000402,EMP00457,2025-09-02,Present,08:47,18:03
ATD000403,EMP01198,2025-01-20,Present,08:35,18:05
ATD000404,EMP00786,2024-09-01,"Half Day",09:19,12:52
ATD000405,EMP01042,2024-10-13,Present,09:42,18:55
ATD000406,EMP00413,2025-01-10,Present,08:40,17:17
ATD000407,EMP00074,2025-10-28,"Half Day",08:32,12:26
ATD000408,EMP00990,2026-06-27,"Work From Home",09:45,18:02
ATD000409,EMP00624,2024-12-15,Absent,NULL,NULL
ATD000410,EMP01042,2026-03-28,Present,08:45,17:48
ATD000411,EMP00528,2024-09-29,Present,09:00,18:25
ATD000412,EMP00880,2024-12-10,Present,08:31,16:52
ATD000413,EMP00554,2024-11-07,Present,09:19,18:23
ATD000414,EMP00662,2025-08-01,Present,08:58,17:07
ATD000415,EMP00859,2025-04-23,"Work From Home",09:54,18:05
ATD000416,EMP00877,2025-10-06,Present,08:30,17:14
ATD000417,EMP00939,2025-10-19,Present,08:48,17:28
ATD000418,EMP00170,2025-06-09,Absent,NULL,NULL
ATD000419,EMP00692,2024-10-19,"Work From Home",09:15,17:58
ATD000420,EMP01102,2025-07-25,Present,08:38,17:15
ATD000421,EMP00014,2024-11-01,Present,08:37,17:50
ATD000422,EMP00378,2025-06-16,"Work From Home",09:26,17:29
ATD000423,EMP01115,2025-10-09,Absent,NULL,NULL
ATD000424,EMP00026,2024-08-10,Present,09:25,18:10
ATD000425,EMP00829,2025-10-17,Absent,NULL,NULL
ATD000426,EMP00607,2025-06-16,Present,08:40,16:54
ATD000427,EMP00516,2025-09-06,Present,08:34,17:23
ATD000428,EMP01123,2024-10-01,Present,09:21,17:21
ATD000429,EMP00210,2024-12-11,Present,09:08,18:17
ATD000430,EMP00953,2025-10-31,Present,09:02,17:57
ATD000431,EMP00616,2025-11-01,Present,08:38,17:14
ATD000432,EMP00661,2024-12-26,Present,08:33,17:36
ATD000433,EMP00021,2024-10-16,"Half Day",09:02,12:59
ATD000434,EMP01197,2025-08-18,"Half Day",09:10,12:43
ATD000435,EMP00867,2025-03-08,Present,08:36,17:05
ATD000436,EMP00876,2025-12-26,"Half Day",09:26,13:14
ATD000437,EMP00737,2025-02-01,Present,08:53,18:10
ATD000438,EMP00930,2025-06-11,"Half Day",09:13,13:05
ATD000439,EMP00225,2025-10-15,Present,08:41,17:23
ATD000440,EMP00670,2026-06-01,"Half Day",08:56,13:13
ATD000441,EMP00364,2025-05-03,Present,08:31,17:04
ATD000442,EMP01086,2026-02-04,Present,08:34,17:55
ATD000443,EMP00559,2026-05-07,Present,08:39,16:46
ATD000444,EMP01140,2025-11-05,Present,08:56,17:53
ATD000445,EMP00141,2024-12-06,Present,08:30,17:29
ATD000446,EMP00402,2026-04-28,Present,08:37,17:51
ATD000447,EMP00820,2025-02-15,"Half Day",08:37,12:10
ATD000448,EMP01221,2024-10-07,Absent,NULL,NULL
ATD000449,EMP00290,2024-09-12,Present,08:31,17:31
