salary_id,employee_id,basic_salary,bonus,deductions,net_salary,Pay_Date
SAL000058,EMP00667,130287.55,5952.97,10846.6,125393.92,2024-10-12
SAL000059,EMP00710,46360.76,9468.01,4914.02,50914.75,2025-06-10
SAL000060,EMP01018,120247.36,3173.48,2828.92,120591.92,2025-07-07
SAL000061,EMP00640,128042.91,2075.55,8028,122090.46,2025-08-02
SAL000062,EMP00281,90103.42,10789.32,11805.59,89087.15,2025-07-29
SAL000063,EMP01171,68420.21,15873.73,11812.14,72481.8,2025-09-17
SAL000064,EMP00705,46413.63,11446.17,5283.34,52576.46,2024-11-11
SAL000065,EMP00320,44430.34,14895.83,2269.62,57056.55,2025-01-23
SAL000066,EMP00227,62081.71,7610.41,9145.69,60546.43,2025-09-24
SAL000067,EMP00287,29402.82,9280.6,9370.07,29313.35,2025-07-23
SAL000068,EMP01089,45118.67,4188.53,1889.68,47417.52,2024-12-17
SAL000069,EMP00491,139441.57,15379,5627.79,149192.78,2025-03-02
SAL000070,EMP00979,99767.7,12311.18,8275.67,103803.21,2026-07-28
SAL000071,EMP00485,24844.97,9644.73,4405.28,30084.42,2026-03-19
SAL000072,EMP00621,55639.3,2183.71,10980.59,46842.42,2026-01-25
SAL000073,EMP01042,114029.06,17109.53,3324.78,127813.81,2025-04-28
SAL000074,EMP01096,141428.19,2198.51,1749.19,141877.51,2025-06-13
SAL000075,EMP00245,71769,15613.61,9147.33,78235.28,2026-01-09
SAL000076,EMP00162,113215.52,3417.97,14868.95,101764.54,2025-09-26
SAL000077,EMP01023,126010.46,19736.2,5260.32,140486.34,2025-11-23
SAL000078,EMP00119,23957.07,4135.27,8006.38,20085.96,2024-09-06
SAL000079,EMP00352,127467.97,10830.75,7389.25,130909.47,2026-01-14
SAL000080,EMP00140,82143.34,9245.15,2209.33,89179.16,2025-01-05
SAL000081,EMP00300,56494.68,10604.71,6913.6,60185.79,2025-04-08
SAL000082,EMP00098,97238.75,13207.86,7268.42,103178.19,2025-09-04
SAL000083,EMP00652,28213.03,15551.37,10373.91,33390.49,2026-07-06
SAL000084,EMP00703,41722.69,16668.88,2544.02,55847.55,2025-06-04
SAL000085,EMP00960,89405.14,1781.16,8297.33,82888.97,2025-11-27
SAL000086,EMP00103,95810.72,4871.3,11540.3,89141.72,2025-01-11
SAL000087,EMP00881,49288.1,1442.12,6714.8,44015.42,2026-06-29
SAL000088,EMP00932,116998.44,14748.56,12474.52,119272.48,2025-02-09
SAL000089,EMP00019,119507.87,7702.83,11140.41,116070.29,2025-09-11
SAL000090,EMP00425,65987.41,1882.49,2452.83,65417.07,2025-12-22
SAL000091,EMP00378,97331.72,7997.82,14686.47,90643.07,2026-01-05
SAL000092,EMP00469,147288.05,13640.63,10084.93,150843.75,2025-07-03
SAL000093,EMP01123,57708.83,9014.21,6214.26,60508.78,2025-11-28
SAL000094,EMP00737,101268.17,13611.28,13742.84,101136.61,2024-08-19
SAL000095,EMP00476,61456.26,3772.72,10519.95,54709.03,2026-08-02
SAL000096,EMP00273,140059.2,17641.5,12521.38,145179.32,2025-09-24
SAL000097,EMP00917,80430.68,10717.81,3895.82,87252.67,2025-10-21
SAL000098,EMP00426,131850.21,4521.73,3269.19,133102.75,2025-02-13
SAL000099,EMP00574,43677.72,19470.37,6324.76,56823.33,2025-07-28
SAL000100,EMP00009,56908.94,13805.54,10739.5,59974.98,2025-11-24
SAL000101,EMP00198,56647.56,11389.75,11622.67,56414.64,2025-06-09
SAL000102,EMP00342,94939.22,7215.59,14619.31,87535.5,2024-11-08
SAL000103,EMP00159,83829.88,15771.28,5388,94213.16,2025-01-02
SAL000104,EMP00245,118152.06,8740.25,12297.54,114594.77,2026-05-12
SAL000105,EMP00255,28863.83,1226.41,8314.73,21775.51,2025-01-09
SAL000106,EMP00881,140565.4,8374.56,3977.02,144962.94,2025-08-22
SAL000107,EMP01222,57307.43,17924.16,1029.89,74201.7,2026-01-13
SAL000108,EMP00373,91340.38,4512.95,5631.58,90221.75,2025-01-20
SAL000109,EMP00065,88580.32,11245.82,8338.47,91487.67,2026-03-25
SAL000110,EMP00709,83999.99,8446.8,9504.38,82942.41,2025-07-25
SAL000111,EMP00760,143765.73,3852.8,3841.84,143776.69,2026-07-05
SAL000112,EMP00651,99256.2,16261.53,3678.14,111839.59,2025-01-08
SAL000113,EMP00713,74166.58,4298.71,7508,70957.29,2025-06-18
SAL000114,EMP00548,76892.86,3459.29,14653.87,65698.28,2025-05-04
SAL000115,EMP00300,50664.9,14568.7,9159.58,56074.02,2025-02-27
SAL000116,EMP00116,147475.73,4239.89,14917.76,136797.86,2025-06-19
SAL000117,EMP01049,117947.42,6998.02,7412.39,117533.05,2025-06-20
SAL000118,EMP00940,57871.55,9322.55,13168.69,54025.41,2025-05-27
SAL000119,EMP00854,57912.4,19048.51,2452.87,74508.04,2026-05-08
SAL000120,EMP00385,114174.14,4349.87,1064.75,117459.26,2025-04-06
SAL000121,EMP00229,85572.34,19607.75,7074.23,98105.86,2024-09-22
SAL000122,EMP00178,25230.56,5686.13,1591.07,29325.62,2026-02-11
SAL000123,EMP00856,86326.83,14980.68,11649.04,89658.47,2025-06-25
SAL000124,EMP00377,68868.73,3415.45,3216.11,69068.07,2024-08-30
SAL000125,EMP01061,117681.72,10838.85,12591.31,115929.26,2026-02-14
SAL000126,EMP00303,113623.28,10514.27,5525.05,118612.5,2026-01-24
SAL000127,EMP00857,29940.52,2365.74,1384.69,30921.57,2025-12-03
SAL000128,EMP00301,131847.72,10099.13,14598.22,127348.63,2026-04-03
SAL000129,EMP00433,27831.25,1658.22,3760.31,25729.16,2025-02-25
SAL000130,EMP01085,105682.63,16583.68,4072.03,118194.28,2026-04-18
SAL000131,EMP01056,28843.98,12718.4,8638.01,32924.37,2025-05-04
SAL000132,EMP00479,110937.25,12569.71,2186.97,121319.99,2026-05-01
SAL000133,EMP00868,68610.48,3066.44,5639.88,66037.04,2026-08-11
SAL000134,EMP00209,46581.62,8545,9510.28,45616.34,2025-09-21
SAL000135,EMP00089,122627.99,7247.85,7826.41,122049.43,2025-06-16
SAL000136,EMP00198,147614.65,3040.36,14392.77,136262.24,2026-01-31
SAL000137,EMP01216,99305.86,14495.97,1249.83,112552,2026-01-19
SAL000138,EMP00481,82598.46,7777.07,5070.74,85304.79,2025-08-16
SAL000139,EMP00429,85370.27,14696.85,5074.32,94992.8,2024-10-10
SAL000140,EMP00661,27311.61,11411.13,7977.11,30745.63,2025-04-29
SAL000141,EMP00241,27233.08,3027.05,7085.46,23174.67,2025-12-22
SAL000142,EMP00230,51678.6,1345.25,11975.94,41047.91,2024-08-22
SAL000143,EMP00070,34763.09,1149.15,6063.84,29848.4,2025-06-06
SAL000144,EMP00258,71797.97,13353.05,9003.33,76147.69,2026-06-12
SAL000145,EMP00510,47094.67,11349.15,9887.52,48556.3,2026-01-16
SAL000146,EMP00345,94542.14,1120.39,7026.6,88635.93,2025-02-18
SAL000147,EMP00870,90970.74,12175.35,13216.77,89929.32,2024-11-19
SAL000148,EMP00184,26122.59,11246.66,6536.96,30832.29,2025-10-03
SAL000149,EMP00913,117011.06,16522.23,13792.52,119740.77,2025-11-04
SAL000150,EMP00290,20350.56,16396.97,5004.22,31743.31,2025-03-09
SAL000151,EMP00702,130576.42,14977.55,1695.79,143858.18,2025-08-24
SAL000152,EMP00930,98858.81,3655.5,2867.17,99647.14,2026-08-06
SAL000153,EMP00063,137391.08,19897.39,4790.25,152498.22,2025-11-30
SAL000154,EMP00746,44808.34,5901.35,12914.76,37794.93,2025-09-12
SAL000155,EMP00494,45356.28,6832.52,4361.12,47827.68,2024-09-26
SAL000156,EMP00679,32551.7,5029.71,4277.02,33304.39,2025-07-24
SAL000157,EMP01010,64270.97,7571.44,14642.19,57200.22,2024-08-28
SAL000158,EMP00243,95288.51,1224.87,3126.56,93386.82,2026-07-17
SAL000159,EMP00454,29305.83,14112.89,2144.97,41273.75,2025-08-24
SAL000160,EMP00710,49427.07,19138.18,10148.42,58416.83,2025-10-25
SAL000161,EMP01161,80168.34,19982.74,10516.07,89635.01,2025-12-22
SAL000162,EMP00654,110280.22,7780.24,3196.93,114863.53,2024-09-10
SAL000163,EMP00982,85032.99,16534.46,4676.71,96890.74,2026-04-04
SAL000164,EMP00987,85087.5,10878.52,12179.66,83786.36,2026-01-04
SAL000165,EMP00590,71661.74,12264.04,3337.61,80588.17,2024-10-03
SAL000166,EMP00411,30772.21,9621.94,5109.03,35285.12,2026-06-11
SAL000167,EMP00065,103222.82,10910.58,7747.69,106385.71,2026-05-07
SAL000168,EMP00417,88658.82,14412.81,9324.27,93747.36,2026-08-05
SAL000169,EMP00660,50421.9,7605.32,8714.5,49312.72,2024-10-18
SAL000170,EMP00031,128386.77,11558.72,12585.75,127359.74,2026-06-12
SAL000171,EMP00626,48906.26,7160.33,13298.71,42767.88,2026-03-04
SAL000172,EMP00829,138381.13,19047.3,9337.69,148090.74,2025-02-13
SAL000173,EMP01043,142578.51,7640.95,14068.88,136150.58,2024-10-09
SAL000174,EMP01215,83282.65,8063.3,14883.73,76462.22,2025-12-19
SAL000175,EMP00481,108626.88,13324.21,7101.17,114849.92,2024-09-26
SAL000176,EMP00324,124825.83,14657.53,11720.38,127762.98,2025-09-16
SAL000177,EMP00003,62095.53,14978.97,1703.45,75371.05,2026-03-23
SAL000178,EMP00347,53833.68,10222.73,7973.81,56082.6,2025-05-28
SAL000179,EMP01125,22736.75,17855.17,10117.07,30474.85,2025-04-12
SAL000180,EMP00185,48204.82,2608.04,9612.51,41200.35,2025-06-12
SAL000181,EMP00150,112595.3,10961.09,12349.89,111206.5,2024-11-03
SAL000182,EMP00521,146740.72,5851.05,5060.84,147530.93,2024-09-26
SAL000183,EMP00454,109444.7,10254.72,7350.13,112349.29,2025-09-28
SAL000184,EMP00586,25359.59,9829.86,1237.64,33951.81,2026-04-02
SAL000185,EMP00714,123966.07,7592.69,13151.5,118407.26,2026-08-06
SAL000186,EMP00537,52752.48,16904.82,5635.87,64021.43,2024-10-27
SAL000187,EMP00571,47111.62,1434.59,3497.98,45048.23,2025-03-21
SAL000188,EMP00028,47044.46,19047.38,1070.83,65021.01,2026-04-01
SAL000189,EMP01124,94920.04,2701.03,3255.5,94365.57,2025-03-13
SAL000190,EMP00467,33025.37,13454.25,14391.18,32088.44,2026-02-24
SAL000191,EMP00516,23462.34,4133.88,4427.94,23168.28,2026-06-30
SAL000192,EMP00293,62497.01,11512.76,7351.22,66658.55,2026-05-01
SAL000193,EMP01172,109984.55,1024.36,12357.64,98651.27,2025-11-11
SAL000194,EMP00982,42881.95,16266.3,5534.65,53613.6,2026-01-26
SAL000195,EMP00784,143503.73,8549.03,3606.81,148445.95,2026-04-30
SAL000196,EMP00098,100905.26,14845.72,5078.45,110672.53,2024-11-23
SAL000197,EMP00073,27488.52,6281.49,1965.28,31804.73,2025-04-15
SAL000198,EMP00119,62115.91,18735.4,10703.28,70148.03,2026-01-30
SAL000199,EMP00208,108118.79,17093.04,6460.12,118751.71,2025-07-27
SAL000200,EMP00957,36815.66,16715.47,12347.04,41184.09,2026-02-25
SAL000201,EMP00238,107796.74,1884.71,10933.59,98747.86,2026-07-25
SAL000202,EMP00274,100381.82,18940.85,1539.04,117783.63,2026-01-23
SAL000203,EMP00212,147688.62,5568.23,8938.1,144318.75,2025-10-17
SAL000204,EMP00100,111892.25,9622.47,2601.75,118912.97,2026-01-22
SAL000205,EMP00867,41025.08,16951.03,1084.03,56892.08,2026-06-20
SAL000206,EMP01088,84963.58,16547.35,2136.37,99374.56,2024-10-22
SAL000207,EMP00155,110411.89,12798.42,5988.34,117221.97,2024-09-15
SAL000208,EMP00253,49956.93,7026.84,10976.37,46007.4,2026-03-13
SAL000209,EMP00773,148985.43,18814.22,9493,158306.65,2026-04-27
SAL000210,EMP00033,53538.72,8738.77,9520.47,52757.02,2025-12-06
SAL000211,EMP00782,37028.98,16675.21,4299.58,49404.61,2025-07-11
SAL000212,EMP01144,94049.99,17326.49,4088.11,107288.37,2025-02-23
SAL000213,EMP00047,100004.51,2768.92,8236.9,94536.53,2026-08-01
SAL000214,EMP00283,89587.29,19322.49,11626.33,97283.45,2026-01-09
SAL000215,EMP01160,94076.72,13789.48,13765.24,94100.96,2026-08-02
SAL000216,EMP00112,52668.17,2127.22,3853.86,50941.53,2025-12-07
SAL000217,EMP00147,31518.84,10981.47,8816.37,33683.94,2026-04-28
SAL000218,EMP00877,52750.18,19738.61,6216.91,66271.88,2025-01-27
SAL000219,EMP00569,80581.08,15957.86,1861.78,94677.16,2026-01-21
SAL000220,EMP00612,83677.18,15870.63,13302.73,86245.08,2024-10-21
SAL000221,EMP00903,82088.25,2593.76,6173.07,78508.94,2025-04-08
SAL000222,EMP00200,51413.09,3387.52,3890.42,50910.19,2025-07-05
SAL000223,EMP00589,139666.87,19203.45,13366.26,145504.06,2025-08-29
SAL000224,EMP01219,39257.88,15016.56,5950.21,48324.23,2026-08-08
SAL000225,EMP00311,66508.44,6090.6,13428.39,59170.65,2025-11-15
SAL000226,EMP01132,66970,13343.17,7864.81,72448.36,2024-10-29
SAL000227,EMP01105,80797.7,10910.55,9185.6,82522.65,2026-03-18
SAL000228,EMP00511,94554.49,19602.73,13420.92,100736.3,2026-02-18
SAL000229,EMP00520,75739.07,16401.67,14023.26,78117.48,2026-04-10
SAL000230,EMP00080,101494.36,3824.49,11004.78,94314.07,2026-06-26
SAL000231,EMP00995,107786.63,9985.87,11948.01,105824.49,2026-03-06
SAL000232,EMP00298,22819.41,1694.26,7756.44,16757.23,2025-08-25
SAL000233,EMP00454,83490.53,17043.65,2813.62,97720.56,2025-12-11
SAL000234,EMP01193,29117.66,11570.59,5003.9,35684.35,2024-09-21
SAL000235,EMP00987,104029.87,9728.44,13374.97,100383.34,2025-05-12
SAL000236,EMP00143,122384.4,17997.46,8517.56,131864.3,2025-06-06
SAL000237,EMP00778,140381.04,18940.78,11602.05,147719.77,2026-02-01
SAL000238,EMP00016,69165.38,3001.12,13148.66,59017.84,2024-09-26
SAL000239,EMP00490,89398.03,2338.71,5492.33,86244.41,2025-01-09
SAL000240,EMP00458,114508.59,15879.49,9849.35,120538.73,2025-02-03
SAL000241,EMP00776,54403.01,18029.82,10789.28,61643.55,2025-01-05
SAL000242,EMP01113,94108.11,13786.1,9432.8,98461.41,2025-07-23
SAL000243,EMP00064,113435.67,1354.2,1213.38,113576.49,2026-08-08
SAL000244,EMP00089,43024.81,17971.56,10130.13,50866.24,2025-04-09
SAL000245,EMP00113,75473.03,1503.95,2029.85,74947.13,2024-09-30
SAL000246,EMP00633,93931.89,15398.81,11059.28,98271.42,2024-08-24
SAL000247,EMP00510,138853.39,6298.97,5729.85,139422.51,2026-02-08
SAL000248,EMP00267,105643.05,14117.92,5586.52,114174.45,2025-05-26
SAL000249,EMP01123,63217.47,18181.75,7308.23,74090.99,2026-08-03
SAL000250,EMP00144,101459.42,19730.9,12327.41,108862.91,2025-02-09
SAL000251,EMP00923,107659.31,1002.89,12063.22,96598.98,2026-07-24
SAL000252,EMP00194,42889.87,14880.87,8328.35,49442.39,2025-03-28
SAL000253,EMP00123,82798.7,16021.94,1104.8,97715.84,2026-07-27
SAL000254,EMP00169,40318.15,2462.4,4702.86,38077.69,2026-06-24
SAL000255,EMP00171,145937.02,5084.26,2930.47,148090.81,2025-05-31
SAL000256,EMP00645,76740.14,7577.78,6081.78,78236.14,2024-10-16
SAL000257,EMP01091,132296.35,14597.42,6355.07,140538.7,2025-11-08
SAL000258,EMP00150,52097.55,6101.05,12048.74,46149.86,2025-10-14
SAL000259,EMP00509,114608.8,2257.13,6908.27,109957.66,2025-11-20
SAL000260,EMP00306,144253.95,3850.05,14633.49,133470.51,2024-11-24
SAL000261,EMP00065,134884.19,13308.22,10182.32,138010.09,2026-04-16
SAL000262,EMP00334,89057.52,10828.13,9648.27,90237.38,2025-04-20
SAL000263,EMP00436,29264.5,6395.58,2649.58,33010.5,2025-04-01
SAL000264,EMP00376,86872.98,19256.27,12008.9,94120.35,2024-10-05
SAL000265,EMP01139,107997.6,11519.47,2490.21,117026.86,2024-08-27
SAL000266,EMP00875,143530.32,13747.63,3007.28,154270.67,2025-07-06
SAL000267,EMP01001,120460.18,15240.6,2528.17,133172.61,2024-11-17
SAL000268,EMP00350,81638.91,1541.85,2959.84,80220.92,2025-03-25
SAL000269,EMP00438,22447.7,4578.45,2142.09,24884.06,2026-02-02
SAL000270,EMP00026,87964.73,17989.53,7521.33,98432.93,2026-02-14
SAL000271,EMP00068,67513.38,2340.59,13878.81,55975.16,2025-07-03
SAL000272,EMP00793,78124.6,12066.95,13326.64,76864.91,2025-01-23
SAL000273,EMP01115,50002.58,12129.91,10826.33,51306.16,2025-11-13
SAL000274,EMP01023,33334.63,10456.41,8614.55,35176.49,2025-05-20
SAL000275,EMP01127,66015.95,2143.92,3086.93,65072.94,2026-08-01
SAL000276,EMP00895,141494.8,10062.59,4978.03,146579.36,2026-02-22
SAL000277,EMP00066,27683.79,3761.33,13218.59,18226.53,2026-05-01
SAL000278,EMP00095,35746.38,4003.65,6436.85,33313.18,2025-02-26
SAL000279,EMP00625,131933.91,13660.5,9621.87,135972.54,2026-02-23
SAL000280,EMP00203,138517.64,14812.45,13790.2,139539.89,2025-06-17
SAL000281,EMP00244,96599.69,16418.55,10330.1,102688.14,2025-02-13
SAL000282,EMP01114,39910.82,16222.6,7227.6,48905.82,2024-11-05
SAL000283,EMP00515,30840.55,2431.06,4323.53,28948.08,2025-08-21
SAL000284,EMP00235,53761.5,5013.29,8422.22,50352.57,2025-11-29
SAL000285,EMP00467,98587.78,10549.42,13240.83,95896.37,2025-02-14
SAL000286,EMP00540,122177.19,11991.28,14353.67,119814.8,2024-10-21
SAL000287,EMP00469,46191.33,12532.75,10590.07,48134.01,2025-10-15
SAL000288,EMP00518,124106.75,8543.29,7315.09,125334.95,2025-09-01
SAL000289,EMP01127,126590.87,12125.35,14045.27,124670.95,2026-01-22
SAL000290,EMP01128,138967.43,10898.04,5845.07,144020.4,2026-05-07
SAL000291,EMP01220,71914.35,8038.66,13270.36,66682.65,2024-12-11
SAL000292,EMP00835,43088.35,18139.37,10314.53,50913.19,2026-07-24
SAL000293,EMP01082,77168.73,8763.96,11576,74356.69,2025-03-11
SAL000294,EMP01055,23108.34,15896.5,10974.51,28030.33,2026-02-06
SAL000295,EMP00503,118037.5,8509.66,9856.33,116690.83,2025-01-30
SAL000296,EMP00053,119900.05,9921.85,2930.16,126891.74,2026-02-18
SAL000297,EMP00692,129593.1,18610.09,6095.08,142108.11,2025-04-25
SAL000298,EMP00340,118452.26,10758.1,11534.78,117675.58,2025-08-29
SAL000299,EMP00163,112245.88,5442.49,5851.92,111836.45,2026-05-17
SAL000300,EMP00799,63483.14,2869.73,9140,57212.87,2026-02-21
SAL000301,EMP00313,147199.14,10216.54,14632.41,142783.27,2026-02-18
SAL000302,EMP00362,90295.67,9748.41,12510.94,87533.14,2026-06-12
SAL000303,EMP01123,82751.87,18548.22,5812.03,95488.06,2025-06-08
SAL000304,EMP00519,139800.25,1368.52,11080.2,130088.57,2025-02-11
SAL000305,EMP00353,127576.27,14639.15,1599.49,140615.93,2026-04-09
SAL000306,EMP00816,23893.32,13869.49,1626.57,36136.24,2025-10-12
SAL000307,EMP01204,72710.68,16170.52,13083.3,75797.9,2025-02-26
SAL000308,EMP01002,62413.59,3705.13,9944.81,56173.91,2026-07-30
SAL000309,EMP00855,41426.54,4436.29,4105.18,41757.65,2026-05-27
SAL000310,EMP00304,112447.64,17895.63,1248.23,129095.04,2026-03-19
SAL000311,EMP00034,84005.82,1185.13,11995.54,73195.41,2025-07-14
SAL000312,EMP00895,59973.96,6232.18,6524.29,59681.85,2026-03-22
SAL000313,EMP00268,87354.57,2078.23,7573.42,81859.38,2025-05-30
SAL000314,EMP00773,52987.79,8669.15,5057.23,56599.71,2025-03-11
SAL000315,EMP01044,125694.42,16775.32,8628.23,133841.51,2026-03-30
SAL000316,EMP00927,64272.19,14783.22,7757.62,71297.79,2025-10-29
SAL000317,EMP00360,60326.31,5088.58,1108.22,64306.67,2026-02-05
SAL000318,EMP00816,62172.47,15801.38,10047.15,67926.7,2024-10-06
SAL000319,EMP00288,56411.68,18974.35,6782.67,68603.36,2025-08-29
SAL000320,EMP01088,145704.28,16633.18,4197.94,158139.52,2025-06-13
SAL000321,EMP00549,59394.13,11519.49,1479.4,69434.22,2024-09-10
SAL000322,EMP00687,106350.92,11983.05,9201.81,109132.16,2026-04-21
SAL000323,EMP00498,116915.66,13624.43,1916.24,128623.85,2025-07-09
SAL000324,EMP00541,126852.03,15238.74,7718.28,134372.49,2025-07-28
SAL000325,EMP00516,32721.68,4284.57,4619.01,32387.24,2025-10-08
SAL000326,EMP01192,27375.84,17943.6,10275.52,35043.92,2025-11-09
SAL000327,EMP00738,83977.25,7400.47,6147.97,85229.75,2024-11-09
SAL000328,EMP00127,88294.56,2717.82,9459.42,81552.96,2025-01-04
SAL000329,EMP01012,55005.13,10771.61,1614.86,64161.88,2024-10-22
SAL000330,EMP00554,94562.09,18012.9,5806.18,106768.81,2025-11-21
SAL000331,EMP00266,52149.74,2744.91,9272.94,45621.71,2024-12-14
SAL000332,EMP01052,97497.47,5738.51,11329.27,91906.71,2026-01-01
SAL000333,EMP00063,114335.95,19635.72,7917.58,126054.09,2026-03-13
SAL000334,EMP00393,21292.27,9120.38,3770.45,26642.2,2026-02-09
SAL000335,EMP00814,118027.46,10667.09,3285.29,125409.26,2026-07-30
SAL000336,EMP00667,27875.66,1113.25,3190.82,25798.09,2025-08-25
SAL000337,EMP00052,148747.33,19411.33,9368.89,158789.77,2025-09-09
SAL000338,EMP01144,97322.41,8622.74,2119.39,103825.76,2025-10-08
SAL000339,EMP00664,76079.48,16870.54,2268.34,90681.68,2025-10-27
SAL000340,EMP00352,135793.01,1503.36,12231.98,125064.39,2025-08-26
SAL000341,EMP00076,106555.74,18348.02,10763.17,114140.59,2025-02-17
SAL000342,EMP00273,145544.59,8640.53,2485.17,151699.95,2026-01-07
SAL000343,EMP00811,30160.7,11089.64,11336.16,29914.18,2026-02-21
SAL000344,EMP00822,89316.4,14885.56,5883.34,98318.62,2025-04-22
SAL000345,EMP00472,53765.18,19860.01,8989.82,64635.37,2024-10-23
SAL000346,EMP00050,133840.9,9820.49,3335.49,140325.9,2025-10-14
SAL000347,EMP00143,38327.6,3479.74,12427.56,29379.78,2025-02-09
SAL000348,EMP00615,100621.11,14805.58,3394.45,112032.24,2025-04-08
SAL000349,EMP00738,145871.5,14323.87,6363.89,153831.48,2026-05-14
SAL000350,EMP00770,74180.19,5109.66,8398.73,70891.12,2026-03-15
SAL000351,EMP00677,114583.7,4669.43,6966,112287.13,2026-07-10
SAL000352,EMP00996,147215.74,16077.26,1787.43,161505.57,2025-10-11
SAL000353,EMP01032,31169.33,7502.41,9230.65,29441.09,2026-01-24
SAL000354,EMP00324,66202.66,4320,4499.46,66023.2,2025-02-08
SAL000355,EMP00936,73223.06,6263.58,5553.56,73933.08,2025-11-12
SAL000356,EMP00201,42846.04,16085.96,3791.02,55140.98,2025-09-17
SAL000357,EMP00806,107855.59,19558.3,14356.73,113057.16,2025-01-05
